Time (s),Accel X,Accel Y,Accel Z,Gyro X ,Gyro Y ,Gyro Z
0,0,0,9.81,0,0,1.0525
0.01,0,0,9.81,0,0,1.0525
0.02,0,0,9.81,0,0,1.0525
0.03,0,0,9.81,0,0,1.0525
0.04,0,0,9.81,0,0,1.0525
0.05,0,0,9.81,0,0,1.0525
0.06,0,0,9.81,1.40E-15,-6.66E-14,1.0525
0.07,0,0,9.81,-3.50E-16,-6.46E-18,1.0525
0.08,0,0,9.81,-1.05E-15,6.66E-14,1.0525
0.09,0,0,9.81,0,0,1.0525
0.1,0,0,9.81,0,0,1.0525
0.11,0,0,9.81,0,0,1.0525
0.12,0,0,9.81,0,0,1.0525
0.13,0,0,9.81,-1.05E-15,-6.66E-14,1.0525
0.14,0,0,9.81,-3.50E-16,6.46E-18,1.0525
0.15,0,0,9.81,1.40E-15,6.66E-14,1.0525
0.16,0,0,9.81,0,0,1.0525
0.17,0,0,9.81,0,0,1.0525
0.18,0,0,9.81,0,0,1.0525
0.19,0,0,9.81,0,0,1.0525
0.2,0,0,9.81,0,0,1.0525
0.21,0,0,9.81,-3.85E-15,-6.65E-14,1.0525
0.22,0,0,9.81,3.85E-15,6.65E-14,1.0525
0.23,0,0,9.81,0,0,1.0525
0.24,0,0,9.81,0,0,1.0525
0.25,0,0,9.81,0,0,1.0525
0.26,0,0,9.81,0,0,1.0525
0.27,0,0,9.81,0,0,1.0525
0.28,0,0,9.81,0,0,1.0525
0.29,0,0,9.81,0,0,1.0525
0.3,0,0,9.81,0,0,1.0525
0.31,0,0,9.81,0,0,1.0525
0.32,0,0,9.81,0,0,1.0525
0.33,0,0,9.81,0,0,1.0525
0.34,0,0,9.81,0,0,1.0525
0.35,0,0,9.81,0,0,1.0525
0.36,0,0,9.81,0,0,1.0525
0.37,0,0,9.81,0,0,1.0525
0.38,0,0,9.81,0,0,1.0525
0.39,0,0,9.81,0,0,1.0525
0.4,0,0,9.81,0,0,1.0525
0.41,0,0,9.81,0,0,1.0525
0.42,0,0,9.81,0,0,1.0525
0.43,0,0,9.81,0,0,1.0525
0.44,0,0,9.81,-1.19E-14,-6.56E-14,1.0525
0.45,0,0,9.81,1.19E-14,6.56E-14,1.0525
0.46,0,0,9.81,-1.25E-14,-6.54E-14,1.0525
0.47,0,0,9.81,1.25E-14,6.54E-14,1.0525
0.48,0,0,9.81,0,0,1.0525
0.49,0,0,9.81,0,0,1.0525
0.5,0,0,9.81,-1.39E-14,-6.51E-14,1.0525
0.51,0,0,9.81,1.39E-14,6.51E-14,1.0525
0.52,0,0,9.81,-1.46E-14,-6.50E-14,1.0525
0.53,0,0,9.81,1.46E-14,6.50E-14,1.0525
0.54,0,0,9.81,0,0,1.0525
0.55,0,0,9.81,0,0,1.0525
0.56,0,0,9.81,0,0,1.0525
0.57,0,0,9.81,-1.63E-14,-6.46E-14,1.0525
0.58,0,0,9.81,-3.40E-16,8.67E-17,1.0525
0.59,0,0,9.81,-3.39E-16,8.85E-17,1.0525
0.6,0,0,9.81,1.70E-14,6.44E-14,1.0525
0.61,0,0,9.81,0,0,1.0525
0.62,0,0,9.81,0,0,1.0525
0.63,0,0,9.81,0,0,1.0525
0.64,0,0,9.81,0,0,1.0525
0.65,0,0,9.81,-1.90E-14,-6.38E-14,1.0525
0.66,0,0,9.81,-3.36E-16,1.01E-16,1.0525
0.67,0,0,9.81,1.93E-14,6.37E-14,1.0525
0.68,0,0,9.81,0,0,1.0525
0.69,0,0,9.81,0,0,1.0525
0.7,0,0,9.81,-2.07E-14,-6.33E-14,1.0525
0.71,0,0,9.81,-3.33E-16,1.10E-16,1.0525
0.72,0,0,9.81,2.10E-14,6.32E-14,1.0525
0.73,0,0,9.81,0,0,1.0525
0.74,0,0,9.81,0,0,1.0525
0.75,0,0,9.81,0,0,1.0525
0.76,0,0,9.81,0,0,1.0525
0.77,0,0,9.81,0,0,1.0525
0.78,0,0,9.81,0,0,1.0525
0.79,0,0,9.81,0,0,1.0525
0.8,0,0,9.81,0,0,1.0525
0.81,0,0,9.81,0,0,1.0525
0.82,0,0,9.81,0,0,1.0525
0.83,0,0,9.81,0,0,1.0525
0.84,0,0,9.81,0,0,1.0525
0.85,0,0,9.81,0,0,1.0525
0.86,0,0,9.81,0,0,1.0525
0.87,0,0,9.81,0,0,1.0525
0.88,0,0,9.81,-8.86E-15,-2.04E-14,1.0525
0.89,0,0,9.81,-1.07E-16,4.69E-17,1.0525
0.9,0,0,9.81,8.97E-15,2.03E-14,1.0525
0.91,0,0,9.81,0,0,1.0525
0.92,0,0,9.81,0,0,1.0525
0.93,0,0,9.81,0,0,1.0525
0.94,0,0,9.81,-9.50E-15,-2.01E-14,1.0525
0.95,0,0,9.81,9.50E-15,2.01E-14,1.0525
0.96,0,0,9.81,0,0,1.0525
0.97,0,0,9.81,-9.81E-15,-1.99E-14,1.0525
0.98,0,0,9.81,9.81E-15,1.99E-14,1.0525
0.99,0,0,9.81,0,0,1.0525
1,0,0,9.81,0,0,1.0525
1.01,0,0,9.81,0,0,1.0525
1.02,0,0,9.81,0,0,1.0525
1.03,0,0,9.81,0,0,1.0525
1.04,0,0,9.81,0,0,1.0525
1.05,0,0,9.81,0,0,1.0525
1.06,0,0,9.81,-1.07E-14,-1.94E-14,1.0525
1.07,0,0,9.81,1.07E-14,1.94E-14,1.0525
1.08,0,0,9.81,0,0,1.0525
1.09,0,0,9.81,0,0,1.0525
1.1,0,0,9.81,0,0,1.0525
1.11,0,0,9.81,0,0,1.0525
1.12,0,0,9.81,0,0,1.0525
1.13,0,0,9.81,0,0,1.0525
1.14,0,0,9.81,0,0,1.0525
1.15,0,0,9.81,0,0,1.0525
1.16,0,0,9.81,0,0,1.0525
1.17,0,0,9.81,0,0,1.0525
1.18,0,0,9.81,0,0,1.0525
1.19,0,0,9.81,-1.20E-14,-1.87E-14,1.0525
1.2,0,0,9.81,1.20E-14,1.87E-14,1.0525
1.21,0,0,9.81,0,0,1.0525
1.22,0,0,9.81,0,0,1.0525
1.23,0,0,9.81,0,0,1.0525
1.24,0,0,9.81,0,0,1.0525
1.25,0,0,9.81,0,0,1.0525
1.26,0,0,9.81,0,0,1.0525
1.27,0,0,9.81,0,0,1.0525
1.28,0,0,9.81,0,0,1.0525
1.29,0,0,9.81,0,0,1.0525
1.3,0,0,9.81,0,0,1.0525
1.31,0,0,9.81,0,0,1.0525
1.32,0,0,9.81,0,0,1.0525
1.33,0,0,9.81,-1.34E-14,-1.77E-14,1.0525
1.34,0,0,9.81,1.34E-14,1.77E-14,1.0525
1.35,0,0,9.81,0,0,1.0525
1.36,0,0,9.81,0,0,1.0525
1.37,0,0,9.81,-1.38E-14,-1.74E-14,1.0525
1.38,0,0,9.81,1.38E-14,1.74E-14,1.0525
1.39,0,0,9.81,-1.39E-14,-1.73E-14,1.0525
1.4,0,0,9.81,1.39E-14,1.73E-14,1.0525
1.41,0,0,9.81,-1.41E-14,-1.71E-14,1.0525
1.42,0,0,9.81,1.41E-14,1.71E-14,1.0525
1.43,0,0,9.81,0,0,1.0525
1.44,0,0,9.81,0,0,1.0525
1.45,0,0,9.81,-1.45E-14,-1.68E-14,1.0525
1.46,0,0,9.81,1.45E-14,1.68E-14,1.0525
1.47,0,0,9.81,0,0,1.0525
1.48,0,0,9.81,0,0,1.0525
1.49,0,0,9.81,0,0,1.0525
1.5,0,0,9.81,0,0,1.0525
1.51,0,0,9.81,0,0,1.0525
1.52,0,0,9.81,0,0,1.0525
1.53,0,0,9.81,-1.52E-14,-1.62E-14,1.0525
1.54,0,0,9.81,1.52E-14,1.62E-14,1.0525
1.55,0,0,9.81,0,0,1.0525
1.56,0,0,9.81,0,0,1.0525
1.57,0,0,9.81,0,0,1.0525
1.58,0,0,9.81,0,0,1.0525
1.59,0,0,9.81,0,0,1.0525
1.6,0,0,9.81,0,0,1.0525
1.61,0,0,9.81,0,0,1.0525
1.62,0,0,9.81,0,0,1.0525
1.63,0,0,9.81,0,0,1.0525
1.64,0,0,9.81,0,0,1.0525
1.65,0,0,9.81,0,0,1.0525
1.66,0,0,9.81,0,0,1.0525
1.67,0,0,9.81,0,0,1.0525
1.68,0,0,9.81,0,0,1.0525
1.69,0,0,9.81,0,0,1.0525
1.7,0,0,9.81,0,0,1.0525
1.71,0,0,9.81,0,0,1.0525
1.72,0,0,9.81,0,0,1.0525
1.73,0,0,9.81,0,0,1.0525
1.74,0,0,9.81,0,0,1.0525
1.75,0,0,9.81,0,0,1.0525
1.76,0,0,9.81,0,0,1.0525
1.77,0,0,9.81,0,0,1.0525
1.78,0,0,9.81,0,0,1.0525
1.79,0,0,9.81,0,0,1.0025
1.8,0,0,9.81,-0.0076447,0.049787,0.95243
1.81,0,0,9.81,-0.014493,0.099709,0.90229
1.82,0,0,9.81,-0.02054,0.14974,0.85211
1.83,0,0,9.81,-0.025785,0.19987,0.80191
1.84,0,0,9.81,-0.030226,0.25007,0.7517
1.85,0,0,9.81,-0.033861,0.30034,0.70151
1.86,0,0,9.81,-0.03669,0.35068,0.65133
1.87,0,0,9.81,-0.038714,0.40106,0.60118
1.88,0,0,9.81,-0.039931,0.4515,0.55104
1.89,0,0,9.81,-0.040341,0.50199,0.50092
1.9,0,0,9.81,-0.039946,0.55252,0.45082
1.91,0,0,9.81,-0.038743,0.60309,0.40072
1.92,0,0,9.81,-0.036733,0.65369,0.35063
1.93,0,0,9.81,-0.033914,0.70432,0.30054
1.94,0,0,9.81,-0.030287,0.75495,0.25045
1.95,0,0,9.81,-0.02585,0.80559,0.20035
1.96,0,0,9.81,-0.020603,0.85619,0.15025
1.97,0,0,9.81,-0.014545,0.90675,0.10015
1.98,0,0,9.81,-0.0076773,0.95721,0.05006
1.99,0,0,9.81,-3.11E-15,1.0076,-6.67E-14
2,0,0,9.81,-4.27E-15,1.0578,6.74E-14
2.01,-0.10377,-8.51E-18,9.8095,6.79E-15,1.0578,-1.20E-14
2.02,-0.20752,0,9.8078,-8.27E-15,1.0578,2.32E-14
2.03,-0.31125,0,9.8051,9.69E-15,1.0578,-2.35E-14
2.04,-0.41495,-3.40E-17,9.8012,-1.08E-14,1.0578,-2.12E-14
2.05,-0.5186,0,9.7963,1.35E-14,1.0578,9.59E-15
2.06,-0.62219,3.40E-17,9.7902,1.58E-15,1.0578,4.44E-14
2.07,-0.72571,0,9.7831,8.57E-15,1.0578,-4.56E-14
2.08,-0.82915,-6.81E-17,9.7749,-1.83E-14,1.0578,1.32E-14
2.09,-0.9325,0,9.7656,1.29E-14,1.0578,-3.50E-14
2.1,-1.0357,0,9.7552,-7.24E-15,1.0578,3.44E-14
